"MACHINE_ALERT_DETAIL_ID","MACHINE_ALERT_ID","MACHINE_EVENT_DETAIL_ID","MACHINE_EVENT_ID","BYTES_READ","BYTES_WRITTEN","PROTOCOL_TYPE","LOCAL_PORT","REMOTE_PORT","DNS_HOSTNAME","NETWORK_ADDRESS","DEST_REMOVABLE","DEST_DRIVE_TYPE","DEST_FILE_NAME","DEST_FILE_DIRECTORY","SRC_DRIVE_TYPE","SRC_FILE_NAME","SRC_FILE_DIRECTORY","PRINTER_NAME","PRINTER_JOBNAME","SRC_DRIVE_NAME","DEST_DRIVE_NAME","PROTOCOL_NAME","OUTBOUND_NAME","EVENT_SUBTYPE","FILE_SIZE","FILE_SIZE_KB","RECIPIENT_EMAIL_ADDRESS","RECIPIENT_TYPE","RECIPIENT_TYPE_NAME","SRC_FILE_ENCRYPTION","SRC_ENCRYPTION_NAME","DEST_FILE_ENCRYPTION","DEST_ENCRYPTION_NAME","HAS_SRC_CLASSIFICATION","HAS_DEST_CLASSIFICATION","SRC_FILE_ID","DEST_FILE_ID","URL_PATH","SRC_NETWORK_ADDRESS","SRC_DNS_HOSTNAME","ADE_OBJECT_TYPE","DR_PRODUCT_TYPE","DR_PRODUCT_NAME","DR_EVENT_TYPE","DR_EVENT_NAME","DR_USER_NAME","DR_SERVER_NAME","WAS_SRC_FILE_CAPTURED","WAS_DEST_FILE_CAPTURED","WAS_SCREEN_CAPTURED","SRC_DEVICE_DESCRIPTION_ID","DEST_DEVICE_DESCRIPTION_ID","WAS_PKI_AUTH","GID","EMAIL_ADDRESS","WAS_SMIME_ENCRYPTED","WAS_SMIME_SIGNED","DEVICE_TYPE","DEVICE_ID","REG_SRC_PATH","REG_DEST_PATH","REG_VALUE_TYPE","REG_VALUE","REG_VALUE_NAME","REG_EVENT_NAME","HOOKED_MODULE_NAME","HOOKED_FUNCTION_NAME","HOOKED_OWNER_MODULE","HOOKED_ADDRESS","WAS_DLL_LOADED_RT","WAS_DLL_LOADED_AI","WAS_DLL_LOADED_UI","WAS_DLL_LOADED_RF","DNS_QUESTION","SRC_CLASS_POLICIES","DEST_CLASS_POLICIES","SRC_CLASS_RULES","DEST_CLASS_RULES","SRC_CLASS_TAGS","DEST_CLASS_TAGS","HAS_SRC_SAMPLE_MATCH","HAS_DEST_SAMPLE_MATCH"
"E21FA79B-F3C2-424E-8A3D-4BC7C5E9EC25","96FAF03D-5FCE-11F1-A6BE-806E6F6E6963","0D00F541-ABC7-102D-9A91-806E7FDE72E8","0D00F8AB-ABC7-102D-9A91-806E7FDE72E8","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","","","http://chatgpt.com/backend-api/sentinel/sdk.js?","127.0.0.1","","","","","","","","","False","False","0","","","False","","","False","False","","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"AB203702-E904-4C20-AA25-93C855C4DD8D","96FAF03F-5FCE-11F1-A6BE-806E6F6E6963","0ADCD732-ABC7-102D-9A91-806E7FDE72E8","0ADCDB1C-ABC7-102D-9A91-806E7FDE72E8","0","0","8","58212","53","dns.google","8.8.8.8","False","7","","","7","","","","","None","None","DNS","Outbound","6","0","0 KB","","","","","","","","0","0","","","","172.16.1.17","","","","","6","Delete","","","False","False","0","","","False","","","False","False","","","","","","","Query Value","","","","","","False","False","False","False","chatgpt.com","","","","","","","False","False"
"2C50ADDE-71E4-4C90-BBF6-DC4CDCBE0FB8","96FAF041-5FCE-11F1-A6BE-806E6F6E6963","0B15122E-ABC7-102D-9A91-806E7FDE72E8","0B151618-ABC7-102D-9A91-806E7FDE72E8","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","","","http://chatgpt.com/ces/v1/rgstr?k=client-nb0qtylzuy2tcmn5s5ncnuibcjncjrvit0izfm7gqst&st=javascript-client&sv=3.32.6&t=1780567505179&sid=3977c925-4b13-4f91-84c9-92663a1fbe22&ec=48&gz=1","127.0.0.1","","","","","","","","","False","False","0","","","False","","","False","False","","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"2057FFC3-CC10-424E-8962-455AE9CA2BA6","96FAF043-5FCE-11F1-A6BE-806E6F6E6963","0937D51B-ABC7-102D-9A91-806E7FDE72E8","0937D905-ABC7-102D-9A91-806E7FDE72E8","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","","","http://chatgpt.com/ces/v1/telemetry/intake?ddforward=%2fapi%2fv2%2flogs%3fddsource%3dbrowser%26dd-api-key%3dpub1f79f8ac903a5872ae5f53026d20a77c%26dd-evp-origin-version%3d6.22.0%26dd-evp-origin%3dbrowser%26dd-request-id%3d5715c005-a25b-49db-824f-af87c4f81e7d","127.0.0.1","","","","","","","","","False","False","0","","","False","","","False","False","","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"E5E1DDEF-E2D7-4501-9017-B83E7D539B4A","96FAF045-5FCE-11F1-A6BE-806E6F6E6963","30D81EB0-ABC7-102D-9A91-806E7FDE72E8","30D8029A-ABC7-102D-9A91-806E7FDE72E8","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","","","http://chatgpt.com/backend-api/sentinel/ping?","127.0.0.1","","","","","","","","","False","False","0","","","False","","","False","False","","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"FBB5192D-E788-4B4C-A121-5867D15543F3","96FAF049-5FCE-11F1-A6BE-806E6F6E6963","245D3E68-ABC7-102D-9A91-806E7FDE72E8","245D2252-ABC7-102D-9A91-806E7FDE72E8","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","","","http://chatgpt.com/ces/v1/m?","127.0.0.1","","","","","","","","","False","False","0","","","False","","","False","False","","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"E1B3CC6D-A4AA-4F05-9445-8FC937F438DD","96FAF04D-5FCE-11F1-A6BE-806E6F6E6963","7CEF9327-ABC7-102D-9A91-806E7FDE72E8","7CEF9711-ABC7-102D-9A91-806E7FDE72E8","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","","","http://chatgpt.com/backend-api/sentinel/ping?","127.0.0.1","","","","","","","","","False","False","0","","","False","","","False","False","","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"E326D02F-E0CA-4164-B5A5-A7A34EF35B6A","96FAF04F-5FCE-11F1-A6BE-806E6F6E6963","DEB8020F-ABC4-102D-9A91-806E7FDE72E8","DEB80679-ABC4-102D-9A91-806E7FDE72E8","0","0","8","58811","53","dns.google","8.8.8.8","False","7","","","7","","","","","None","None","DNS","Outbound","6","0","0 KB","","","","","","","","0","0","","","","172.16.1.17","","","","","6","Delete","","","False","False","0","","","False","","","False","False","","","","","","","Query Value","","","","","","False","False","False","False","chatgpt.com","","","","","","","False","False"
"8F7C8662-009A-433B-B100-2A100173DBF5","96FAF051-5FCE-11F1-A6BE-806E6F6E6963","DEB99E25-ABC4-102D-9A91-806E7FDE72E8","DEB9820F-ABC4-102D-9A91-806E7FDE72E8","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","","","http://chatgpt.com/backend-api/sentinel/ping?","127.0.0.1","","","","","","","","","False","False","0","","","False","","","False","False","","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"D4F5CC94-0580-4A8C-85D0-FDD54E07E692","96FAF056-5FCE-11F1-A6BE-806E6F6E6963","CAADE6B4-ABC4-102D-9A91-806E7FDE72E8","CAADEA9E-ABC4-102D-9A91-806E7FDE72E8","0","0","7","62704","443","dlptest.com","35.209.95.242","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","","","http://dlptest.com/?","127.0.0.1","","","","","","","","","False","False","0","","","False","","","False","False","","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
